Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Bachelor's,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,GBP,1,6,1,Hybrid,SQLite,Java;JavaScript;Ruby;C#,Other online resources;Online Courses or Certification,31670.94
Bachelor's,18-24 years old,Student,10-99 employees,Yes,INR,15,18,13,Hybrid,Oracle;SQLite;MySQL,Kotlin;Swift,Books / Physical media,64353.99
Master's,25-34 years old,Student,"10,000+ employees",Yes,EUR,10,12,5,In-person,MongoDB;MySQL;SQLite,Swift;JavaScript,Books / Physical media;Online Courses or Certification,72139.59
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,49,50,44,Remote,PostgreSQL,Java;Ruby;Kotlin;JavaScript,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,179250.04
Bachelor's,18-24 years old,Junior Developer,500-999 employees,No,INR,14,18,9,In-person,PostgreSQL,Python;Swift;Java,Other online resources;Online Courses or Certification;Colleague,53199.67
High School,35-44 years old,Senior Developer,10-99 employees,Yes,INR,40,40,35,In-person,MongoDB,C++;Ruby;JavaScript;Python,Online Courses or Certification;Colleague,121413.19
PhD,18-24 years old,Junior Developer,500-999 employees,Yes,GBP,50,50,45,Hybrid,PostgreSQL;MongoDB,C#;Java;Swift;Kotlin,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,164612.01
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,INR,19,24,16,Hybrid,Oracle;MySQL;SQLite,Python;Swift,Other online resources,100180.64
Bachelor's,55+ years old,Junior Developer,10-99 employees,Yes,USD,36,38,31,Remote,MongoDB;MySQL,Ruby;C#,Colleague;Other online resources;Books / Physical media,116216.86
Master's,25-34 years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,10,12,7,Hybrid,Oracle;PostgreSQL,JavaScript;C#;C++;Kotlin,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,53726.79
PhD,45-54 years old,Student,500-999 employees,Yes,EUR,40,45,38,Hybrid,MySQL;SQLite;Oracle,Swift;Python;Go;C#,Other online resources;Online Courses or Certification,135792.13
Bachelor's,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,USD,12,13,7,In-person,Oracle;SQLite;PostgreSQL,Go,Online Courses or Certification,50227.71
PhD,55+ years old,Senior Developer,1-9 employees,No,GBP,25,29,24,Remote,PostgreSQL,C++;Swift,Online Courses or Certification;Books / Physical media,99564.86
Bachelor's,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,45,50,43,Remote,MySQL;Oracle;MongoDB,Kotlin,Books / Physical media,136892.34
High School,25-34 years old,Junior Developer,500-999 employees,Yes,INR,28,32,27,Hybrid,Oracle,Swift;Java,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,91092.8
High School,25-34 years old,Senior Developer,10-99 employees,Yes,GBP,17,17,15,In-person,Oracle;MongoDB;PostgreSQL,Java;JavaScript;C++;C#,Online Courses or Certification,63823.67
PhD,55+ years old,Mid-level Developer,100-499 employees,Yes,INR,11,14,10,Remote,MySQL;PostgreSQL;SQLite,Java,Other online resources;Online Courses or Certification,67175.96
PhD,25-34 years old,Tech Lead,10-99 employees,No,EUR,9,9,6,Hybrid,MySQL,C#,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,78547.53
High School,18-24 years old,Mid-level Developer,10-99 employees,No,USD,25,26,22,Hybrid,MongoDB,C#,Other online resources;Books / Physical media;Colleague,84247.01
High School,45-54 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,29,29,25,Hybrid,SQLite;PostgreSQL,C++;JavaScript;Ruby;Kotlin,Other online resources;Online Courses or Certification;Books / Physical media,117640.69
High School,35-44 years old,Mid-level Developer,500-999 employees,Yes,INR,10,13,7,In-person,MongoDB,Go,Books / Physical media;Online Courses or Certification,50444.96
Bachelor's,55+ years old,Senior Developer,"10,000+ employees",No,GBP,41,45,40,Hybrid,MySQL,Swift,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,130738.41
Bachelor's,18-24 years old,Mid-level Developer,10-99 employees,Yes,EUR,19,24,17,Hybrid,MongoDB,C#;Kotlin,Online Courses or Certification;Colleague;Books / Physical media,72385.09
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,USD,14,18,14,Remote,MySQL;Oracle;MongoDB,Java;Python;C++;Kotlin,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,99052.33
High School,45-54 years old,Student,"10,000+ employees",No,GBP,5,9,2,Remote,Oracle;MySQL,Ruby;Go;Python;Java,Online Courses or Certification;Books / Physical media;Colleague,44946.46
PhD,25-34 years old,Tech Lead,"1,000 to 4,999 employees",Yes,INR,37,40,36,In-person,MySQL;SQLite,C++;Python;C#,Other online resources;Books / Physical media,149882.25
High School,55+ years old,Senior Developer,500-999 employees,No,GBP,2,6,0,Remote,MySQL,Swift;Python;Ruby;JavaScript,Other online resources;Colleague,23816.59
High School,25-34 years old,Tech Lead,"10,000+ employees",No,EUR,33,33,30,In-person,Oracle;MongoDB,Kotlin;C++;Go,Books / Physical media,134612.24
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,Yes,USD,20,23,16,Hybrid,PostgreSQL,C++;Swift;JavaScript;Go,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,114849.56
Master's,55+ years old,Junior Developer,1-9 employees,No,GBP,37,40,33,Remote,SQLite;Oracle;MySQL,Java;Kotlin,Other online resources;Books / Physical media;Colleague,122751.95
High School,18-24 years old,Tech Lead,"1,000 to 4,999 employees",Yes,EUR,45,47,41,Hybrid,MongoDB;SQLite,Swift;Go;Kotlin,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,155490.4
Master's,55+ years old,Junior Developer,"1,000 to 4,999 employees",Yes,EUR,8,13,6,In-person,MongoDB,Python;JavaScript;Java;Go,Online Courses or Certification;Books / Physical media;Other online resources,57166.33
PhD,35-44 years old,Junior Developer,1-9 employees,No,EUR,9,11,6,Remote,MongoDB;MySQL,Go;Python,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,59714.57
Bachelor's,25-34 years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,5,5,0,In-person,PostgreSQL;SQLite,Swift;JavaScript;Go;Python,Colleague;Other online resources,35631.69
PhD,25-34 years old,Tech Lead,"5,000 to 9,999 employees",Yes,EUR,18,20,15,Remote,SQLite,Swift,Online Courses or Certification;Books / Physical media,112677.81
Master's,45-54 years old,Tech Lead,1-9 employees,Yes,EUR,35,39,31,Hybrid,PostgreSQL;MongoDB,JavaScript;Go;C++,Online Courses or Certification;Colleague;Other online resources,143062.98
PhD,55+ years old,Tech Lead,"10,000+ employees",Yes,USD,40,41,36,In-person,PostgreSQL;MongoDB;SQLite,Ruby;Swift,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,166733.86
High School,35-44 years old,Senior Developer,1-9 employees,Yes,INR,8,8,3,Hybrid,PostgreSQL,Python;C#;Ruby,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,43682.25
PhD,45-54 years old,Tech Lead,"5,000 to 9,999 employees",Yes,USD,24,27,24,In-person,PostgreSQL;MongoDB,Java,Other online resources;Online Courses or Certification,129636.15
PhD,45-54 years old,Senior Developer,1-9 employees,No,EUR,11,12,9,Remote,MongoDB;Oracle,Ruby,Other online resources,65771.9
High School,55+ years old,Senior Developer,10-99 employees,No,GBP,29,32,29,In-person,PostgreSQL;Oracle;SQLite,Python,Books / Physical media;Online Courses or Certification;Colleague,92500.29
High School,25-34 years old,Senior Developer,1-9 employees,No,EUR,22,26,18,In-person,MongoDB,Kotlin;Java,Colleague;Online Courses or Certification,76552.59
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,Yes,EUR,3,3,0,In-person,MySQL,C++,Other online resources,63855.81
Bachelor's,25-34 years old,Senior Developer,"10,000+ employees",Yes,GBP,32,35,27,Remote,MongoDB,JavaScript;Kotlin;Go;Swift,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,110142.41
Master's,45-54 years old,Student,"1,000 to 4,999 employees",Yes,GBP,20,21,17,In-person,MongoDB;PostgreSQL;SQLite,Ruby,Other online resources;Colleague,83311.59
Bachelor's,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,USD,34,37,33,Remote,PostgreSQL;Oracle,Swift;Java;C++,Other online resources,104721.43
Bachelor's,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",No,EUR,27,28,22,Hybrid,PostgreSQL,JavaScript,Online Courses or Certification;Other online resources;Books / Physical media,96211.61
Bachelor's,45-54 years old,Senior Developer,1-9 employees,Yes,GBP,21,26,20,Remote,SQLite;MySQL;MongoDB,Java;C#,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,80945.6
Bachelor's,35-44 years old,Mid-level Developer,"10,000+ employees",No,GBP,8,12,5,Hybrid,PostgreSQL;SQLite;Oracle,Ruby;Python;JavaScript,Books / Physical media;Other online resources,46107.04
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,38,38,34,In-person,SQLite,C#;Go;Ruby;Python,Colleague;Online Courses or Certification,146204.24
High School,18-24 years old,Tech Lead,500-999 employees,Yes,USD,12,14,7,In-person,SQLite;PostgreSQL,Python;Kotlin;JavaScript;C#,Colleague;Books / Physical media,72111.34
High School,35-44 years old,Senior Developer,"10,000+ employees",Yes,INR,30,35,29,Hybrid,PostgreSQL;Oracle,Kotlin;Swift;Java;Ruby,Books / Physical media;Colleague;Online Courses or Certification,107498.52
PhD,18-24 years old,Student,"10,000+ employees",Yes,EUR,0,5,0,Hybrid,PostgreSQL,Swift,Colleague;Books / Physical media;Other online resources,50058.34
High School,18-24 years old,Senior Developer,10-99 employees,Yes,EUR,7,10,5,Remote,Oracle;SQLite,JavaScript;Java;Kotlin,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,39446.11
Bachelor's,18-24 years old,Junior Developer,10-99 employees,No,EUR,12,16,12,In-person,MySQL;SQLite;Oracle,Kotlin;Python;JavaScript;Java,Other online resources,45282.89
Bachelor's,45-54 years old,Student,"1,000 to 4,999 employees",No,GBP,27,30,22,Remote,Oracle;MySQL,C#;Go,Books / Physical media,86138.88
Bachelor's,25-34 years old,Student,1-9 employees,Yes,GBP,11,13,11,Hybrid,SQLite;Oracle,C#,Other online resources;Colleague;Books / Physical media,54269.02
Bachelor's,18-24 years old,Tech Lead,"10,000+ employees",No,GBP,11,14,11,In-person,PostgreSQL,Python;C++;Kotlin;JavaScript,Colleague;Other online resources;Books / Physical media,80718.53
High School,35-44 years old,Senior Developer,1-9 employees,Yes,USD,19,24,17,In-person,Oracle,Go;JavaScript;Kotlin;C++,Books / Physical media,75184.18
PhD,45-54 years old,Student,"10,000+ employees",No,USD,5,8,5,In-person,Oracle;MongoDB,Swift;JavaScript,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,52643.5
PhD,55+ years old,Mid-level Developer,100-499 employees,No,EUR,26,27,25,In-person,MySQL;PostgreSQL;MongoDB,JavaScript;Kotlin;Java,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,99780.38
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,USD,42,43,40,Hybrid,MySQL,Ruby;C#;Java,Online Courses or Certification;Colleague;Books / Physical media,166665.07
Master's,55+ years old,Student,100-499 employees,Yes,GBP,1,4,0,Remote,MongoDB;SQLite,C#,Books / Physical media,40454.15
Bachelor's,35-44 years old,Junior Developer,500-999 employees,No,GBP,9,12,5,Remote,PostgreSQL;SQLite,C#;JavaScript;C++;Ruby,Other online resources;Books / Physical media;Online Courses or Certification,39107.68
PhD,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,INR,41,41,41,In-person,PostgreSQL;MySQL;Oracle,Swift;Python,Online Courses or Certification,165844.6
Bachelor's,55+ years old,Student,"5,000 to 9,999 employees",No,EUR,27,29,27,Hybrid,SQLite;MySQL,Java;Python;C#;JavaScript,Colleague;Online Courses or Certification,93677.73
PhD,25-34 years old,Senior Developer,1-9 employees,Yes,GBP,23,28,19,In-person,MongoDB,Go;Kotlin,Online Courses or Certification;Other online resources;Colleague,94005.89
Bachelor's,55+ years old,Senior Developer,10-99 employees,No,USD,7,8,7,Hybrid,SQLite;PostgreSQL;MySQL,C#,Online Courses or Certification;Other online resources;Books / Physical media,35438.75
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,INR,7,8,7,Remote,MongoDB;Oracle,Swift;Kotlin;Java;C++,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,76004.63
High School,45-54 years old,Junior Developer,"5,000 to 9,999 employees",No,USD,13,14,8,In-person,MongoDB;Oracle,Python;Kotlin;JavaScript,Books / Physical media,66109.33
PhD,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,GBP,46,50,44,In-person,SQLite,Kotlin;Go;Python;JavaScript,Other online resources;Online Courses or Certification;Colleague,157226.74
Master's,18-24 years old,Junior Developer,"1,000 to 4,999 employees",Yes,GBP,25,28,20,In-person,MongoDB,Python;JavaScript;C#,Books / Physical media;Colleague,93855.63
Bachelor's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,EUR,7,11,6,Remote,PostgreSQL;Oracle;MySQL,Kotlin;Python,Colleague,59466.01
Bachelor's,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,37,41,37,In-person,PostgreSQL,Swift;Python;C++,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,130799.64
High School,25-34 years old,Senior Developer,1-9 employees,Yes,GBP,22,26,18,In-person,Oracle,C++;C#;Swift,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,81678.64
Bachelor's,25-34 years old,Senior Developer,"1,000 to 4,999 employees",No,INR,23,27,18,In-person,MongoDB;SQLite,Go;Swift,Colleague;Books / Physical media,80074.03
Master's,18-24 years old,Mid-level Developer,1-9 employees,Yes,GBP,11,14,8,Hybrid,MongoDB,Ruby;Java;Swift;JavaScript,Books / Physical media;Online Courses or Certification,64062.19
High School,35-44 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,29,30,27,Remote,MongoDB;MySQL,Ruby;C++,Online Courses or Certification;Books / Physical media;Other online resources,105496.95
High School,35-44 years old,Mid-level Developer,500-999 employees,Yes,EUR,49,50,48,Hybrid,SQLite,Ruby;Swift;C#,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,143545.7
PhD,18-24 years old,Mid-level Developer,10-99 employees,No,INR,26,30,21,Remote,SQLite;Oracle,Python;Kotlin;Go;C#,Books / Physical media;Other online resources;Online Courses or Certification;Colleague,101860.56
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,EUR,16,19,11,Hybrid,SQLite;MySQL,Java,Books / Physical media,102478.64
Master's,18-24 years old,Student,10-99 employees,Yes,GBP,44,48,43,Hybrid,Oracle,Java;Ruby,Online Courses or Certification;Colleague,145375.74
Master's,18-24 years old,Student,10-99 employees,No,INR,39,42,36,Hybrid,MongoDB;MySQL,Java;C#;Python,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,130649.45
PhD,18-24 years old,Mid-level Developer,10-99 employees,No,GBP,28,29,23,Hybrid,PostgreSQL,Ruby,Online Courses or Certification;Books / Physical media;Colleague,101548.36
PhD,55+ years old,Mid-level Developer,500-999 employees,Yes,GBP,27,31,26,Remote,SQLite;PostgreSQL;Oracle,Go;JavaScript;C++,Other online resources,102516.6
Bachelor's,25-34 years old,Tech Lead,1-9 employees,Yes,USD,7,7,3,Remote,SQLite,Python;Ruby;Swift,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,65246.16
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,42,44,37,Hybrid,PostgreSQL;MongoDB;MySQL,Python;Java,Colleague,152236.8
PhD,25-34 years old,Tech Lead,"1,000 to 4,999 employees",Yes,EUR,21,22,18,Hybrid,MongoDB;SQLite;Oracle,Go;C++;Kotlin,Online Courses or Certification;Colleague;Books / Physical media,112560.86
High School,45-54 years old,Mid-level Developer,500-999 employees,No,INR,24,25,23,Hybrid,PostgreSQL,Java;Python,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,76901.08
High School,25-34 years old,Mid-level Developer,"10,000+ employees",Yes,EUR,31,33,26,Remote,MySQL,Go,Other online resources;Online Courses or Certification,111466.42
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,EUR,48,50,45,Hybrid,MySQL,Java;C#;Go,Books / Physical media;Colleague;Online Courses or Certification,155575.76
PhD,55+ years old,Tech Lead,"5,000 to 9,999 employees",Yes,USD,25,25,20,Remote,PostgreSQL;MySQL;SQLite,JavaScript;C#,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,134285.01
PhD,55+ years old,Mid-level Developer,10-99 employees,No,USD,47,47,46,Remote,MongoDB,JavaScript;Go,Books / Physical media;Online Courses or Certification;Other online resources,153414.23
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,GBP,40,40,36,Hybrid,PostgreSQL,C++;Python,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,146834.58
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,28,29,27,In-person,PostgreSQL;MySQL,Python;Ruby;Go,Online Courses or Certification,113534.72
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,38,40,38,In-person,MongoDB;Oracle,Python;Java;Ruby,Online Courses or Certification,149094.52
Bachelor's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,USD,5,5,1,Remote,PostgreSQL,Ruby;C#,Colleague;Books / Physical media,49739.84
